0,1,2,3,4,5,6,7
llama3.1:8b,0,0,0,0.44,0,0.94,1.474
llama3.1:8b,0,0,1,0.44,0,0.89,1.511
llama3.1:8b,0,0,2,0.44,0,1.1,1.245
llama3.1:8b,0,0,3,0.44,0,11.22,0.782
llama3.1:8b,0,0,4,0.44,0,10.38,2.538
llama3.1:8b,0,0,5,0.44,0,1.73,1.604
llama3.1:8b,0,0,6,0.44,0,1.53,1.05
llama3.1:8b,0,0,0,0.44,2,0.7,1.54
llama3.1:8b,0,0,1,0.44,2,1.4,1.248
llama3.1:8b,0,0,2,0.44,2,0.19,1.328
llama3.1:8b,0,0,3,0.44,2,10.82,0.79
llama3.1:8b,0,0,4,0.44,2,7.75,1.992
llama3.1:8b,0,0,5,0.44,2,1.64,1.299
llama3.1:8b,0,0,6,0.44,2,1.29,1.246
llama3.1:8b,0,0,0,0.44,4,1.96,1.831
llama3.1:8b,0,0,1,0.44,4,3.68,1.762
llama3.1:8b,0,0,2,0.44,4,1.65,1.454
llama3.1:8b,0,0,3,0.44,4,12.0,0.904
llama3.1:8b,0,0,4,0.44,4,9.78,1.486
llama3.1:8b,0,0,5,0.44,4,2.19,1.497
llama3.1:8b,0,0,6,0.44,4,2.17,1.604
llama3.1:8b,0,0,0,0.44,6,3.47,1.655
llama3.1:8b,0,0,1,0.44,6,3.87,1.988
llama3.1:8b,0,0,2,0.44,6,1.81,1.262
llama3.1:8b,0,0,3,0.44,6,10.82,0.795
llama3.1:8b,0,0,4,0.44,6,12.79,1.861
llama3.1:8b,0,0,5,0.44,6,2.15,1.528
llama3.1:8b,0,0,6,0.44,6,4.47,1.911
llama3.1:8b,0,0,0,0.44,8,3.73,1.714
llama3.1:8b,0,0,1,0.44,8,5.52,1.27
llama3.1:8b,0,0,2,0.44,8,2.71,1.707
llama3.1:8b,0,0,3,0.44,8,14.62,0.795
llama3.1:8b,0,0,4,0.44,8,13.22,1.741
llama3.1:8b,0,0,5,0.44,8,4.81,1.999
llama3.1:8b,0,0,6,0.44,8,4.05,1.837
llama3.1:8b,0,0,0,0.44,10,5.41,1.702
llama3.1:8b,0,0,1,0.44,10,2.82,1.58
llama3.1:8b,0,0,2,0.44,10,5.2,1.795
llama3.1:8b,0,0,3,0.44,10,17.24,0.78
llama3.1:8b,0,0,4,0.44,10,10.4,1.963
llama3.1:8b,0,0,5,0.44,10,6.88,1.883
llama3.1:8b,0,0,6,0.44,10,10.6,2.123
llama3.1:8b,0,0,0,0.44,12,9.71,1.847
llama3.1:8b,0,0,1,0.44,12,9.25,1.98
llama3.1:8b,0,0,2,0.44,12,13.06,2.523
llama3.1:8b,0,0,3,0.44,12,11.67,0.875
llama3.1:8b,0,0,4,0.44,12,13.42,2.548
llama3.1:8b,0,0,5,0.44,12,14.42,4.996
llama3.1:8b,0,0,6,0.44,12,10.01,2.287
llama3.1:8b,0,1,0,-0.18,0,0.55,1.782
llama3.1:8b,0,1,1,-0.18,0,1.46,2.058
llama3.1:8b,0,1,2,-0.18,0,0.5,1.777
llama3.1:8b,0,1,3,-0.18,0,13.28,0.797
llama3.1:8b,0,1,4,-0.18,0,8.35,3.489
llama3.1:8b,0,1,5,-0.18,0,0.27,1.836
llama3.1:8b,0,1,6,-0.18,0,0.89,2.095
llama3.1:8b,0,1,0,-0.18,2,1.2,1.946
llama3.1:8b,0,1,1,-0.18,2,1.56,1.972
llama3.1:8b,0,1,2,-0.18,2,0.85,1.655
llama3.1:8b,0,1,3,-0.18,2,8.46,0.721
llama3.1:8b,0,1,4,-0.18,2,2.86,0.63
llama3.1:8b,0,1,5,-0.18,2,1.82,2.539
llama3.1:8b,0,1,6,-0.18,2,1.32,1.9
llama3.1:8b,0,1,0,-0.18,4,2.85,2.145
llama3.1:8b,0,1,1,-0.18,4,2.85,2.189
llama3.1:8b,0,1,2,-0.18,4,1.12,2.01
llama3.1:8b,0,1,3,-0.18,4,14.09,0.854
llama3.1:8b,0,1,4,-0.18,4,7.53,1.515
llama3.1:8b,0,1,5,-0.18,4,1.08,1.625
llama3.1:8b,0,1,6,-0.18,4,1.83,2.337
llama3.1:8b,0,1,0,-0.18,6,3.38,2.337
llama3.1:8b,0,1,1,-0.18,6,2.96,1.865
llama3.1:8b,0,1,2,-0.18,6,2.78,2.222
llama3.1:8b,0,1,3,-0.18,6,9.11,0.811
llama3.1:8b,0,1,4,-0.18,6,7.98,1.378
llama3.1:8b,0,1,5,-0.18,6,2.72,2.535
llama3.1:8b,0,1,6,-0.18,6,2.39,2.411
llama3.1:8b,0,1,0,-0.18,8,5.16,2.32
llama3.1:8b,0,1,1,-0.18,8,4.87,2.259
llama3.1:8b,0,1,2,-0.18,8,2.71,1.833
llama3.1:8b,0,1,3,-0.18,8,10.0,0.811
llama3.1:8b,0,1,4,-0.18,8,7.5,1.875
llama3.1:8b,0,1,5,-0.18,8,5.47,2.073
llama3.1:8b,0,1,6,-0.18,8,5.82,2.616
llama3.1:8b,0,1,0,-0.18,10,6.11,1.755
llama3.1:8b,0,1,1,-0.18,10,4.41,2.693
llama3.1:8b,0,1,2,-0.18,10,4.48,2.315
llama3.1:8b,0,1,3,-0.18,10,12.56,0.699
llama3.1:8b,0,1,4,-0.18,10,9.08,3.493
llama3.1:8b,0,1,5,-0.18,10,5.54,2.913
llama3.1:8b,0,1,6,-0.18,10,5.04,2.621
llama3.1:8b,0,1,0,-0.18,12,8.94,2.326
llama3.1:8b,0,1,1,-0.18,12,8.35,2.607
llama3.1:8b,0,1,2,-0.18,12,6.48,2.572
llama3.1:8b,0,1,3,-0.18,12,17.7,0.767
llama3.1:8b,0,1,4,-0.18,12,12.07,3.056
llama3.1:8b,0,1,5,-0.18,12,9.65,3.143
llama3.1:8b,0,1,6,-0.18,12,7.38,3.539
llama3.1:8b,0,2,0,0.33,0,1.47,1.416
llama3.1:8b,0,2,1,0.33,0,1.4,1.461
llama3.1:8b,0,2,2,0.33,0,0.32,1.225
llama3.1:8b,0,2,3,0.33,0,13.15,0.9
llama3.1:8b,0,2,4,0.33,0,4.79,1.711
llama3.1:8b,0,2,5,0.33,0,1.38,1.393
llama3.1:8b,0,2,6,0.33,0,2.91,1.609
llama3.1:8b,0,2,0,0.33,2,1.98,1.811
llama3.1:8b,0,2,1,0.33,2,0.8,1.761
llama3.1:8b,0,2,2,0.33,2,1.22,1.549
llama3.1:8b,0,2,3,0.33,2,11.0,0.773
llama3.1:8b,0,2,4,0.33,2,9.94,2.222
llama3.1:8b,0,2,5,0.33,2,2.28,1.561
llama3.1:8b,0,2,6,0.33,2,3.35,2.194
llama3.1:8b,0,2,0,0.33,4,3.81,1.694
llama3.1:8b,0,2,1,0.33,4,2.55,1.517
llama3.1:8b,0,2,2,0.33,4,1.99,1.868
llama3.1:8b,0,2,3,0.33,4,11.21,0.729
llama3.1:8b,0,2,4,0.33,4,9.38,2.768
llama3.1:8b,0,2,5,0.33,4,3.76,1.819
llama3.1:8b,0,2,6,0.33,4,3.57,2.021
llama3.1:8b,0,2,0,0.33,6,5.02,1.779
llama3.1:8b,0,2,1,0.33,6,6.77,1.451
llama3.1:8b,0,2,2,0.33,6,5.54,1.837
llama3.1:8b,0,2,3,0.33,6,11.67,0.824
llama3.1:8b,0,2,4,0.33,6,10.19,1.561
llama3.1:8b,0,2,5,0.33,6,5.45,2.369
llama3.1:8b,0,2,6,0.33,6,7.87,2.06
llama3.1:8b,0,2,0,0.33,8,8.09,2.369
llama3.1:8b,0,2,1,0.33,8,7.31,2.164
llama3.1:8b,0,2,2,0.33,8,6.96,2.168
llama3.1:8b,0,2,3,0.33,8,11.46,0.881
llama3.1:8b,0,2,4,0.33,8,7.73,2.614
llama3.1:8b,0,2,5,0.33,8,6.09,2.49
llama3.1:8b,0,2,6,0.33,8,8.88,2.221
llama3.1:8b,0,2,0,0.33,10,7.33,2.117
llama3.1:8b,0,2,1,0.33,10,6.84,1.686
llama3.1:8b,0,2,2,0.33,10,5.82,2.573
llama3.1:8b,0,2,3,0.33,10,9.73,1.101
llama3.1:8b,0,2,4,0.33,10,13.48,2.872
llama3.1:8b,0,2,5,0.33,10,6.99,2.393
llama3.1:8b,0,2,6,0.33,10,11.13,2.82
llama3.1:8b,0,2,0,0.33,12,12.0,1.816
llama3.1:8b,0,2,1,0.33,12,13.48,2.438
llama3.1:8b,0,2,2,0.33,12,8.37,1.948
llama3.1:8b,0,2,3,0.33,12,11.76,0.975
llama3.1:8b,0,2,4,0.33,12,7.73,2.703
llama3.1:8b,0,2,5,0.33,12,12.56,8.121
llama3.1:8b,0,2,6,0.33,12,10.97,3.58
llama3.1:8b,2,0,0,1.99,0,1.39,1.707
llama3.1:8b,2,0,1,1.99,0,2.32,1.813
llama3.1:8b,2,0,2,1.99,0,1.98,1.633
llama3.1:8b,2,0,3,1.99,0,13.91,0.74
llama3.1:8b,2,0,4,1.99,0,6.97,2.281
llama3.1:8b,2,0,5,1.99,0,1.55,1.682
llama3.1:8b,2,0,6,1.99,0,3.85,1.747
llama3.1:8b,2,0,0,1.99,2,2.32,1.787
llama3.1:8b,2,0,1,1.99,2,1.47,1.631
llama3.1:8b,2,0,2,1.99,2,2.59,1.839
llama3.1:8b,2,0,3,1.99,2,11.36,0.754
llama3.1:8b,2,0,4,1.99,2,6.66,1.702
llama3.1:8b,2,0,5,1.99,2,1.69,1.566
llama3.1:8b,2,0,6,1.99,2,4.14,2.089
llama3.1:8b,2,0,0,1.99,4,3.65,1.775
llama3.1:8b,2,0,1,1.99,4,5.52,2.192
llama3.1:8b,2,0,2,1.99,4,2.51,1.603
llama3.1:8b,2,0,3,1.99,4,9.43,1.118
llama3.1:8b,2,0,4,1.99,4,6.2,1.184
llama3.1:8b,2,0,5,1.99,4,2.55,2.669
llama3.1:8b,2,0,6,1.99,4,3.03,2.041
llama3.1:8b,2,0,0,1.99,6,5.31,1.788
llama3.1:8b,2,0,1,1.99,6,3.11,1.591
llama3.1:8b,2,0,2,1.99,6,5.21,2.118
llama3.1:8b,2,0,3,1.99,6,11.26,0.839
llama3.1:8b,2,0,4,1.99,6,6.33,2.203
llama3.1:8b,2,0,5,1.99,6,6.04,2.124
llama3.1:8b,2,0,6,1.99,6,4.54,2.387
llama3.1:8b,2,0,0,1.99,8,5.84,1.872
llama3.1:8b,2,0,1,1.99,8,5.93,1.996
llama3.1:8b,2,0,2,1.99,8,4.24,2.104
llama3.1:8b,2,0,3,1.99,8,17.82,0.876
llama3.1:8b,2,0,4,1.99,8,11.21,1.83
llama3.1:8b,2,0,5,1.99,8,5.36,2.42
llama3.1:8b,2,0,6,1.99,8,3.67,2.28
llama3.1:8b,2,0,0,1.99,10,6.61,1.626
llama3.1:8b,2,0,1,1.99,10,8.27,2.83
llama3.1:8b,2,0,2,1.99,10,3.3,1.943
llama3.1:8b,2,0,3,1.99,10,11.13,0.866
llama3.1:8b,2,0,4,1.99,10,7.41,1.984
llama3.1:8b,2,0,5,1.99,10,7.3,2.478
llama3.1:8b,2,0,6,1.99,10,8.64,2.686
llama3.1:8b,2,0,0,1.99,12,8.16,2.322
llama3.1:8b,2,0,1,1.99,12,10.2,2.071
llama3.1:8b,2,0,2,1.99,12,6.63,1.972
llama3.1:8b,2,0,3,1.99,12,13.73,0.87
llama3.1:8b,2,0,4,1.99,12,9.12,2.771
llama3.1:8b,2,0,5,1.99,12,14.41,5.085
llama3.1:8b,2,0,6,1.99,12,9.23,2.807
llama3.1:8b,2,1,0,2.17,0,1.54,1.988
llama3.1:8b,2,1,1,2.17,0,1.45,1.573
llama3.1:8b,2,1,2,2.17,0,2.05,1.698
llama3.1:8b,2,1,3,2.17,0,14.77,0.824
llama3.1:8b,2,1,4,2.17,0,3.44,1.877
llama3.1:8b,2,1,5,2.17,0,2.39,1.76
llama3.1:8b,2,1,6,2.17,0,1.59,1.698
llama3.1:8b,2,1,0,2.17,2,1.75,2.005
llama3.1:8b,2,1,1,2.17,2,1.97,1.882
llama3.1:8b,2,1,2,2.17,2,1.99,1.755
llama3.1:8b,2,1,3,2.17,2,11.47,0.778
llama3.1:8b,2,1,4,2.17,2,1.47,1.688
llama3.1:8b,2,1,5,2.17,2,2.68,1.663
llama3.1:8b,2,1,6,2.17,2,1.83,1.707
llama3.1:8b,2,1,0,2.17,4,1.89,1.855
llama3.1:8b,2,1,1,2.17,4,2.37,1.951
llama3.1:8b,2,1,2,2.17,4,2.16,1.723
llama3.1:8b,2,1,3,2.17,4,14.37,0.716
llama3.1:8b,2,1,4,2.17,4,2.39,1.903
llama3.1:8b,2,1,5,2.17,4,2.15,2.008
llama3.1:8b,2,1,6,2.17,4,2.0,2.023
llama3.1:8b,2,1,0,2.17,6,3.43,1.854
llama3.1:8b,2,1,1,2.17,6,2.42,1.833
llama3.1:8b,2,1,2,2.17,6,3.37,1.916
llama3.1:8b,2,1,3,2.17,6,13.08,0.803
llama3.1:8b,2,1,4,2.17,6,4.48,2.419
llama3.1:8b,2,1,5,2.17,6,3.0,2.388
llama3.1:8b,2,1,6,2.17,6,3.31,2.106
llama3.1:8b,2,1,0,2.17,8,2.67,2.009
llama3.1:8b,2,1,1,2.17,8,2.81,2.322
llama3.1:8b,2,1,2,2.17,8,2.81,1.956
llama3.1:8b,2,1,3,2.17,8,12.43,1.06
llama3.1:8b,2,1,4,2.17,8,4.9,2.524
llama3.1:8b,2,1,5,2.17,8,7.83,2.215
llama3.1:8b,2,1,6,2.17,8,3.65,2.031
llama3.1:8b,2,1,0,2.17,10,3.37,1.987
llama3.1:8b,2,1,1,2.17,10,2.9,2.164
llama3.1:8b,2,1,2,2.17,10,3.65,1.964
llama3.1:8b,2,1,3,2.17,10,16.01,1.085
llama3.1:8b,2,1,4,2.17,10,5.91,2.938
llama3.1:8b,2,1,5,2.17,10,4.31,2.44
llama3.1:8b,2,1,6,2.17,10,3.87,2.386
llama3.1:8b,2,1,0,2.17,12,5.77,1.839
llama3.1:8b,2,1,1,2.17,12,5.7,2.592
llama3.1:8b,2,1,2,2.17,12,3.39,2.127
llama3.1:8b,2,1,3,2.17,12,13.16,0.946
llama3.1:8b,2,1,4,2.17,12,8.91,3.313
llama3.1:8b,2,1,5,2.17,12,7.72,2.62
llama3.1:8b,2,1,6,2.17,12,6.56,3.411
llama3.1:8b,2,2,0,1.96,0,2.82,1.221
llama3.1:8b,2,2,1,1.96,0,1.99,1.803
llama3.1:8b,2,2,2,1.96,0,2.17,1.232
llama3.1:8b,2,2,3,1.96,0,11.26,0.632
llama3.1:8b,2,2,4,1.96,0,3.22,0.8
llama3.1:8b,2,2,5,1.96,0,1.71,1.521
llama3.1:8b,2,2,6,1.96,0,1.97,1.693
llama3.1:8b,2,2,0,1.96,2,1.18,1.516
llama3.1:8b,2,2,1,1.96,2,3.95,1.267
llama3.1:8b,2,2,2,1.96,2,2.68,1.605
llama3.1:8b,2,2,3,1.96,2,13.06,0.688
llama3.1:8b,2,2,4,1.96,2,1.13,1.64
llama3.1:8b,2,2,5,1.96,2,1.89,1.844
llama3.1:8b,2,2,6,1.96,2,1.66,1.857
llama3.1:8b,2,2,0,1.96,4,3.12,2.071
llama3.1:8b,2,2,1,1.96,4,2.02,2.022
llama3.1:8b,2,2,2,1.96,4,3.57,2.095
llama3.1:8b,2,2,3,1.96,4,9.45,0.799
llama3.1:8b,2,2,4,1.96,4,11.2,1.992
llama3.1:8b,2,2,5,1.96,4,4.24,1.855
llama3.1:8b,2,2,6,1.96,4,4.3,2.317
llama3.1:8b,2,2,0,1.96,6,3.73,1.976
llama3.1:8b,2,2,1,1.96,6,3.22,2.034
llama3.1:8b,2,2,2,1.96,6,4.94,2.263
llama3.1:8b,2,2,3,1.96,6,10.15,0.724
llama3.1:8b,2,2,4,1.96,6,4.61,1.908
llama3.1:8b,2,2,5,1.96,6,5.44,1.605
llama3.1:8b,2,2,6,1.96,6,6.21,2.622
llama3.1:8b,2,2,0,1.96,8,4.71,1.71
llama3.1:8b,2,2,1,1.96,8,3.97,2.135
llama3.1:8b,2,2,2,1.96,8,6.28,2.441
llama3.1:8b,2,2,3,1.96,8,17.67,0.786
llama3.1:8b,2,2,4,1.96,8,5.27,1.657
llama3.1:8b,2,2,5,1.96,8,6.83,1.811
llama3.1:8b,2,2,6,1.96,8,5.06,2.666
llama3.1:8b,2,2,0,1.96,10,4.45,2.006
llama3.1:8b,2,2,1,1.96,10,7.33,2.263
llama3.1:8b,2,2,2,1.96,10,6.07,2.558
llama3.1:8b,2,2,3,1.96,10,15.89,0.784
llama3.1:8b,2,2,4,1.96,10,10.2,3.381
llama3.1:8b,2,2,5,1.96,10,3.57,2.072
llama3.1:8b,2,2,6,1.96,10,6.0,2.72
llama3.1:8b,2,2,0,1.96,12,6.61,2.127
llama3.1:8b,2,2,1,1.96,12,6.15,2.699
llama3.1:8b,2,2,2,1.96,12,8.12,2.767
llama3.1:8b,2,2,3,1.96,12,12.78,0.87
llama3.1:8b,2,2,4,1.96,12,11.03,6.588
llama3.1:8b,2,2,5,1.96,12,9.31,2.536
llama3.1:8b,2,2,6,1.96,12,6.9,2.9
llama3.1:8b,4,0,0,3.85,0,2.99,2.313
llama3.1:8b,4,0,1,3.85,0,3.24,2.296
llama3.1:8b,4,0,2,3.85,0,1.01,1.928
llama3.1:8b,4,0,3,3.85,0,7.63,0.702
llama3.1:8b,4,0,4,3.85,0,4.75,2.247
llama3.1:8b,4,0,5,3.85,0,1.98,2.014
llama3.1:8b,4,0,6,3.85,0,1.61,1.9
llama3.1:8b,4,0,0,3.85,2,1.71,1.747
llama3.1:8b,4,0,1,3.85,2,2.57,2.141
llama3.1:8b,4,0,2,3.85,2,2.68,1.587
llama3.1:8b,4,0,3,3.85,2,9.63,0.931
llama3.1:8b,4,0,4,3.85,2,7.61,1.011
llama3.1:8b,4,0,5,3.85,2,2.79,2.324
llama3.1:8b,4,0,6,3.85,2,2.14,2.06
llama3.1:8b,4,0,0,3.85,4,3.82,2.245
llama3.1:8b,4,0,1,3.85,4,3.73,2.211
llama3.1:8b,4,0,2,3.85,4,3.21,2.317
